Programma,Giorno,Focus,Tipo,#,Esercizio,Serie,Note,Recupero,Attrezzi,Errori_comuni,Respirazione,Fase,Link
V4,Giorno 2,Upper A — Trazioni + Panca + Pulley (alias: Rematore Manubri),Riscaldamento,6,Squat thrust,5 rip,Circuito neurale. Nessun push-up e nessun salto finale.,,Corpo libero,Lombare che cede nel plank,,Circuito,https://www.nasm.org/resource-center/exercise-library/squat-thrust-burpees
V4,Giorno 2,Upper A — Trazioni + Panca + Pulley,Esercizio,1,Trazioni,5x5-8,"Setup: mani poco oltre le spalle, spalle giu, gomiti verso le costole. RPE 8-9; ultimo set solo a RIR 0-1 se tecnica stabile. Alternativa: lat machine o elastico. PRIORITA.",2-3 min,Barra trazioni (+ elastico assist.),Kipping; mento che si protende senza tirare; spalle alle orecchie; ROM incompleto,Inspira in discesa espira tirando verso l'alto
V4,Giorno 2,Upper A — Trazioni + Panca + Pulley,Esercizio,2,Panca,5x6-8,"Setup: piedi saldi, mani poco oltre spalle, polsi sopra i gomiti, gomiti 45-60° dal busto. RPE 8-9; ultimo set solo a RIR 0-1 se tecnica stabile. PRIORITA.",2-3 min,Bilanciere + panca + rack,Rimbalzo sul petto; gomiti troppo aperti 90 gradi; sedere che si alza; polsi piegati,Valsalva
V4,Giorno 2,Upper A — Trazioni + Panca + Pulley (alias: Rematore Manubri),Esercizio,3,Pulley (alias: Rematore Manubri),5x10-12,"Carrucola bassa. Tira verso lo sterno portando i gomiti indietro. Scapole addotte 1s. In superset con Arnold Press. RPE 8-9.",90s,Cavo basso + maniglie,Schiena che si inarca; slancio del busto; tirare con le braccia,Inspira nel ritorno espira tirando
V4,Giorno 2,Upper A — Trazioni + Panca + Pulley,Esercizio,4,Arnold Press,4x10,"Manubri al mento con palmi verso di te. Spingi ruotando i polsi fino a distendere sopra la testa. Movimento pulito. In superset con Pulley. RPE 7.5.",1.5 min,Manubri,Inarcare la lombare; chiudere la rotazione troppo presto; usare slancio col busto,Inspira salendo espira scendendo
V4,Giorno 2,Upper A — Tirata + Petto,Stretching,1,Doorway Pec Stretch,1x30s per lato,"Avambraccio su rack o stipite, gomito a 90°, ruota il busto via. Nota: se vuoi sentire anche il bicipite tieni il braccio il piu disteso possibile.",,Rack o stipite,Spalla che sale o gomito troppo alto,"Diaframmatica, enfasi sull'espirazione completa"
V4,Giorno 2,Upper A — Tirata + Petto,Stretching,2,Overhead Lat Stretch,1x30s per lato,"Mano alta sul rack, fianco che si allontana dalla mano.",,Rack,Ruotare troppo il busto o perdere il fianco,"Diaframmatica, enfasi sull'espirazione completa"
V4,Giorno 2,Upper A — Tirata + Petto,Stretching,3,Stretching Dorsale,1x30s per lato,"Braccio piegato dietro la testa e mano opposta che guida il gomito. Petto fermo e allungamento lungo il fianco e sotto l'ascella.",,Corpo libero,Inarcare la schiena; tirare il collo; spingere troppo il gomito,"Diaframmatica, enfasi sull'espirazione completa"
V4,Giorno 4,Lower B — Stacco + Catena Posteriore,Riscaldamento,1,Dorsiflessione al muro,8 rip per lato,Tallone a terra e controllo pieno.,,Corpo libero,Tallone che si alza,,Mobilita,https://www.youtube.com/watch?v=XISJxwVSLDs
V4,Giorno 4,Lower B — Stacco + Catena Posteriore,Riscaldamento,2,Posizione del quadrato,2x30-40s per lato,Anche aperte senza compensi lombari.,,Corpo libero,Forzare le ginocchia verso il basso,,Mobilita,
V4,Giorno 4,Lower B — Stacco + Catena Posteriore,Riscaldamento,3,Calf Raises con pallina,12 rip,Stringi la pallina per tutta salita e discesa.,,Pallina,Perdere la pallina,,Mobilita,https://www.drfitology.com/exercises/calves/bodyweight-standing-calf-raise
V4,Giorno 4,Lower B — Stacco + Catena Posteriore,Riscaldamento,4,Ponte monopodalico,10 per lato,Gluteo forte in alto. Assetto fermo.,,Corpo libero,Iperestendere la lombare,,Attivazione,https://www.youtube.com/watch?v=AVAXhy6pl7o
V4,Giorno 4,Lower B — Stacco + Catena Posteriore,Riscaldamento,5,Shoulder Tap,20 rip per lato,Anti-rotazione: prepara il core per lo stacco.,,Corpo libero,Bacino che oscilla,Respiro lento e continuo,Attivazione,https://www.youtube.com/watch?v=aqU5ep3sMjY
V4,Giorno 4,Lower B — Stacco + Catena Posteriore,Riscaldamento,6,Push-Up,6-8 rip facili,Circuito neurale. Solo attivazione.,,Corpo libero,Andare a cedimento,,Circuito,https://www.nerdfitness.com/blog/proper-push-up/
V4,Giorno 4,Lower B — Stacco + Catena Posteriore,Riscaldamento,7,Affondi saltati alternati,5 per lato,Circuito neurale. Esplosivi ma controllati.,,Corpo libero,Atterrare rigidi,,Circuito,https://www.youtube.com/watch?v=45qaTeoPGRw
V4,Giorno 4,Lower B — Stacco + Catena Posteriore,Riscaldamento,8,Burpee completo,4-5 rip,Circuito neurale. Se la lombare cede, riduci subito.,,Corpo libero,Lombare che cede nel plank,,Circuito,https://www.youtube.com/watch?v=TU8QYVW0gDU
V4,Giorno 4,Lower B — Stacco + Catena Posteriore,Riscaldamento,9,Serie avvicinamento stacco,1 serie al 50%,Una sola serie a circa meta del carico di lavoro. Deve preparare senza tassarti.,,Bilanciere + bumper,,Valsalva se il carico lo richiede,Avvicinamento,
V4,Giorno 4,Lower B — Stacco + Catena Posteriore,Esercizio,1,Stacco da Terra,5x4-5,"Setup: piedi larghezza anche, barra su meta piede, mani appena fuori gambe, braccia tese. RPE 8-9; ultimo set solo a RIR 0-1 se tecnica stabile. PRIORITA.",2-3 min,Bilanciere + bumper,Schiena arrotondata (cifosi); barra lontana dal corpo; anche che salgono prima delle spalle; collo iperesteso,Valsalva
V4,Giorno 4,Lower B — Stacco + Catena Posteriore,Esercizio,2,Bulgarian Split Squat,3x10-12 per gamba,"Piede posteriore in appoggio morbido su panca, piede davanti tutto a terra, stance stabile su due binari. RPE 8-9. Alternativa: TRX split squat.",90s-2 min,Manubri + panca,Piede davanti troppo vicino; busto che oscilla; ROM accorciato; ginocchio che collassa,Inspira in discesa espira risalendo
V4,Giorno 4,Lower B — Stacco + Catena Posteriore,Esercizio,3,Hyperextension,4x12,"Accessorio catena posteriore a corpo libero. 12 ripetizioni pulite senza peso, usando glutei e femorali piu della lombare. In superset con Donkey Kicks. RPE 8.",60s,Panca romana,Iperestensione lombare in alto; velocita eccessiva; collo iperesteso,Inspira in discesa espira salendo
V4,Giorno 4,Lower B — Stacco + Catena Posteriore,Esercizio,4,Donkey Kicks,4x20 totali,"In quadrupedia. Alterna le gambe a ogni ripetizione: 20 totali = 10 per lato. Cerca il gluteo tenendo il bacino fermo. In superset con Hyperextension. RPE 8.",60s,Corpo libero,Lombare che si inarca; bacino che ruota; slancio senza controllo,Espira spingendo il piede verso l'alto inspira tornando sotto l'anca
V4,Giorno 4,Lower B — Stacco + Catena Posteriore,Stretching,1,Supine Assisted Leg Pull,1x40s per lato,"Gamba tesa verso il soffitto, piede in dorsiflessione, bacino a terra.",,Elastico o asciugamano,Bacino che si solleva o ginocchio che si piega,"Diaframmatica, enfasi sull'espirazione completa"
V4,Giorno 4,Lower B — Stacco + Catena Posteriore,Stretching,2,Figure-Four Supino,1x40s per lato,"Gluteo profondo, sacro pesante a terra.",,Tappetino,Perdere il bacino,"Diaframmatica, enfasi sull'espirazione completa"
V4,Giorno 4,Lower B — Stacco + Catena Posteriore,Stretching,3,Half Kneeling Lunge,1x40s per lato,"Bacino neutro, anche appena avanti.",,Tappetino,Compenso lombare,"Diaframmatica, enfasi sull'espirazione completa"
V4,Giorno 5,Upper B — T-bar + Military + Spinta + Tirata,Riscaldamento,1,T-spine rotation in quadrupedia,8 rip per lato,Apri il torace senza muovere il bacino.,,Corpo libero,Muovere il bacino insieme al torace,,Mobilita,https://www.youtube.com/watch?v=J0BO4tlEsXQ
V4,Giorno 5,Upper B — T-bar + Military + Spinta + Tirata,Riscaldamento,2,Shoulder CARs,5 cerchi per direzione per braccio,Cerchi lenti e completi con tronco fermo.,,Corpo libero,Inarcare la schiena,,Mobilita,https://www.youtube.com/watch?v=PwoDf1Mzlwo
V4,Giorno 5,Upper B — T-bar + Military + Spinta + Tirata,Riscaldamento,3,Dorsiflessione al muro,8 rip per lato,Base stabile anche nel giorno upper.,,Corpo libero,Tallone che si alza,,Mobilita,https://www.youtube.com/watch?v=XISJxwVSLDs
V4,Giorno 5,Upper B — T-bar + Military + Spinta + Tirata,Riscaldamento,4,Scapular Pull-Up,5 rip,Depressione scapolare netta. Braccia tese.,,Barra trazioni,Gomiti che si piegano,Depressione scapolare: inspira in basso espira attivando,Attivazione,https://www.youtube.com/watch?v=fTbd3q-vwqU
V4,Giorno 5,Upper B — T-bar + Military + Spinta + Tirata,Riscaldamento,5,Kettlebell swing leggero,10 rip,Circuito neurale. Esplosivo ma facile.,,Kettlebell,Usare le braccia per sollevare,Espira nello snap delle anche,Circuito,https://www.youtube.com/watch?v=YSxHifyI6s8
V4,Giorno 5,Upper B — T-bar + Military + Spinta + Tirata,Riscaldamento,6,Affondi saltati alternati,5 per lato,Circuito neurale. Ritmo alto ma controllo pieno.,,Corpo libero,Atterrare rigidi,,Circuito,https://www.youtube.com/watch?v=45qaTeoPGRw
V4,Giorno 5,Upper B — T-bar + Military + Spinta + Tirata,Riscaldamento,7,Squat jump,5 rip,Circuito neurale. Salto esplosivo e atterraggio morbido.,,Corpo libero,Atterrare sulle punte a ginocchia tese,,Circuito,https://www.youtube.com/watch?v=A-cFYGvaXio
V4,Giorno 5,Upper B — T-bar + Military + Spinta + Tirata,Riscaldamento,8,Serie avvicinamento military press,1 serie con bilanciere scarico,Una sola serie con bilanciere scarico per entrare nel gesto senza tassarti.,,Bilanciere,,Valsalva leggera o respiro controllato,Avvicinamento,
V4,Giorno 5,Upper B — T-bar + Military + Spinta + Tirata,Esercizio,1,T-bar Row,5x8-10,"Busto a 45 gradi fisso. Tira verso ombelico. Presa neutra. Scapole addotte 1s. RPE 8-9. PRIORITA.",2 min,T-bar + bumper,Schiena arrotondata; slancio col busto; tirare con i bicipiti,Inspira nel ritorno espira tirando
V4,Giorno 5,Upper B — T-bar + Military + Spinta + Tirata,Esercizio,2,Push-Up,4x8-15,"Setup: mani sotto o poco fuori spalle, corpo in linea, gomiti 30-45° dal busto. RIR 1-2. Alternativa: TRX push-up o rialzo.",2 min,Corpo libero (rialzo se necessario),Anche che cedono (banana); gomiti a 90 gradi; testa che penzola; ROM incompleto,Inspira scendendo espira spingendo su
V4,Giorno 5,Upper B — T-bar + Military + Spinta + Tirata,Esercizio,3,Military Press,5x5-6,"Setup: piedi larghezza anche, mani poco oltre spalle, gomiti leggermente avanti, glutei e addome attivi. RPE 8-9; ultimo set solo a RIR 0-1 se tecnica stabile.",2-3 min,Bilanciere + rack,Iperestensione lombare; barra davanti al viso; gomiti che svasano; testa che arretra,Valsalva
V4,Giorno 5,Upper B — T-bar + Military + Spinta + Tirata,Esercizio,4,Trazioni Supine,4x5-8,"Setup: presa supina o neutra circa larghezza spalle, spalle giu, gomiti verso le costole. RPE 8. Alternativa: lat machine presa supina.",2-3 min,Barra trazioni,Come trazioni Giorno 2; presa diversa per variazione angolare,Inspira in discesa espira tirando
V4,Giorno 5,Upper B — T-bar + Military + Spinta + Tirata,Esercizio,5,Woodchop,3x10-12 per lato,"Ruota il tronco senza strappare con le braccia. In superset con Trazioni Supine. RPE 8-9.",45s,Cavo alto o elastico,Ruotare con le braccia anziche col tronco; peso eccessivo,Inspira nel ritorno espira nella rotazione attiva
V4,Giorno 5,Upper B — T-bar + Military + Spinta + Tirata,Stretching,1,Doorway Pec Stretch,1x30s per lato,"Dopo push-up e military press, apri il petto senza alzare la spalla.",,Rack o stipite,Spalla che sale o gomito troppo alto,"Diaframmatica, enfasi sull'espirazione completa"
V4,Giorno 5,Upper B — T-bar + Military + Spinta + Tirata,Stretching,2,Overhead Triceps Stretch,1x30s per lato,"Gomito verso l'alto, costole giù, niente compenso lombare.",,Corpo libero,Torace che si apre troppo o collo rigido,"Diaframmatica, enfasi sull'espirazione completa"
V4,Giorno 5,Upper B — T-bar + Military + Spinta + Tirata,Stretching,3,Overhead Lat Stretch,1x30s per lato,"Dopo trazioni supine, mano alta e fianco lontano.",,Rack,Ruotare troppo il busto o perdere il fianco,"Diaframmatica, enfasi sull'espirazione completa"
V4,Riposo,Recupero,Riposo,0,Riposo completo,,Camminate leggere ok. No allenamento.,,,,
